step	dice_multi
0	0.49487778022462015
1	0.49487778022462015
2	0.49487778022462015
3	0.8245116619163446
4	0.8863913793262024
5	0.8970240663924499
6	0.8989600605508372
7	0.9109985814739296
8	0.9064198461582142
9	0.910444999868949
10	0.9112349303094026
