step	loss
0	0.7273380160331726
1	0.14759832620620728
2	0.11783576756715775
3	0.0938415601849556
4	0.07697343826293945
5	0.06507541239261627
6	0.056473955512046814
7	0.04977930709719658
8	0.04471705108880997
9	0.04077209159731865
10	0.03766357898712158
